HIP	HD	2MASS	Fe	Eu	EuII	
44818 	78235 	09080005+2939151 	0.015 	0.04 	0.06 	
45158 	79181 	09115874-1944516 	-0.26 	-0.11 	-0.04 	
45527 	79910 	09164174-0621113 	0.045 	0.1 		
45896 	80546 	09212719+3254077 	0.16 	0.27 		
6411 	8207 	01222043+4531437 	0.13 	0.16 		
46952 	82635 	09341338+3623513 	-0.02 	0.07 	0.02 	
47205 	83240 	09371267+0650086 	-0.03 	0.06 		
6605 	8599 	01244867-0250550 	-0.185 	-0.08 	0.01 	
7294 	9408 	01335585+5913554 	-0.26 	-0.21 	-0.09 	
53157 	94084 	10523207+5230131 	0.07 	0.38 	0.08 	
53273 	94402 	10534372-0207451 	0.08 	0.18 		
53465 	94669 	10561449+4200290 	-0.08 	0.04 		
47267 	83548 	09380144-4311274 	-0.07 	-0.34 		
105881 	204075 	21264003-2224407 	-0.005 	-0.34 		
53807 	95345 	11003365+0337030 	-0.115 	0.01 		
93017 	176051 	18570156+3254050 	-0.08 	0.66 	0.25 	
94076 	178911 	19090438+3436011 	0.07 	0.28 		
39506 	66573 	08042984+0916045 	-0.545 	-0.21 		
21847 	29645 	04415022+3816487 	0.14 	0.04 	0.13 	
39780 	67228 	08074584+2134543 	0.13 	0.9 	0.36 	
74605 	136064 	15143834+6720483 	0.05 	0.14 	0.18 	
82860 	153597 	16560170+6508054 	-0.08 	-0.05 		
87234 	163989 	17492701+7657464 	-0.11 	0.05 		
62882 	111980 	12531501-1831185 	-1.08 	-0.945 	-0.94 	
4257 	5268 	00541760-0844264 	-0.505 	-0.35 		
81170 	149414 	16344236-0413440 	-1.26 	-0.77 		
110618 	211998 	22243688-7215193 	-1.52 	-0.54 		
5445 	6755 	01094297+6132501 	-1.46 	-0.94 		
18915 	25329 	04031512+3516226 	-1.705 	-0.94 	-1.1 	
21767 	280067 	04403023+3512564 	-0.445 	-0.17 		
22246 		04471838+4559105 	-0.21 	0.18 		
34146 	53545 	07044940-1617053 	-0.24 	-0.26 		
34548 	53871 	07092700+5202196 	-0.3 	-0.12 		
44116 	76910 	08590599-0037257 	-0.47 	-0.63 		
47640 	83888 	09424731+4531018 	0.055 	-0.08 		
48146 		09485315+0858273 	0.12 	0.14 		
57265 		11443576+2532116 	-0.93 	-0.63 		
57939 	103095 	11525880+3743060 	-1.27 	-0.75 	-0.69 	
63970 			0.08 	-0.16 		
65268 	116316 	13223415+2606563 	-0.585 	-0.41 		
66509 	118659 	13380046+1908534 	-0.59 	-0.44 		
66665 		13395957+1235221 	-0.74 	-0.67 		
71886 	129392 	14421119+0356190 	-0.205 	-0.13 		
71887 	129515 	14421132+3155364 	-0.295 	-0.39 		
71939 	129518 	14424860+0402447 	-0.25 	-0.22 		
77946 	142575 	15550283+0504121 	-0.9 	-0.74 		
85378 	158226 	17264323+3104378 	-0.52 	-0.185 		
86431 	160693 	17393690+3711021 	-0.49 	-0.43 		
88039 	163799 	17585582-2223033 	-0.745 	-0.55 		
91058 	171620 	18343066+3424559 	-0.47 	-0.48 		
99938 	192718 	20163806-0726377 	-0.59 	-0.34 		
101382 	195987 	20325166+4153539 	-0.665 	-0.38 		
106947 		21393646+2315558 	-0.395 	-0.02 		
115610 		23251134+3417150 	-0.46 	-0.22 		
117029 	222794 	23432704+5804490 	-0.68 	-0.25 		
90393 	170357 	18263773+4605014 	-0.49 	-0.11 		
102523 	198300 	20463546+5951094 	-0.59 	-0.32 		
54196 	96094 	11051545+2512070 	-0.35 	-0.09 		
56809 	101177 	11384487+4506303 	-0.16 	-0.01 	0.1 	
60268 	107582 	12212819+6144502 	-0.63 	-0.25 		
58345 	103932 	11575619-2742251 	0.15 	0.31 	1.17 	
73184 	131977 	14572788-2124526 	0.04 	0.06 		
67246 	120066 	13465711+0621013 	0.081 	0.75 	0.27 	
73941 	134044 	15063515+3627217 	0.05 	0.84 	0.42 	
100017 	193664 	20173128+6651130 	-0.13 	0.67 	0.17 	
117367 	223238 	23475242+0410315 	0.032 	0.84 	0.28 	
42403 	73344 	08384552+2341094 	0.08 	0.04 		
42488 	73668 	08394380+0545515 		0.78 	0.36 	
44089 	76752 	08584986+2524180 	0.0355 	1.4 	0.32 	
60353 	107705 	12223203+0518197 	0.095 	0.01 	0.31 	
83435 	154160 	17031046+1430409 	0.29 	0.59 	0.55 	
65201 	116064 	13214382-3918400 	-1.9 	-1.21 		
71458 	128279 	14364848-2906460 	-2.17 	-1.965 		
2006 	2114 	00252422+0156229 	-0.03 	0.03 		
4587 	5722 	00584386-1122479 	-0.23 	-0.09 	-0.02 	
8198 	10761 	01452364+0909279 	-0.02 	0.07 	0.09 	
8423 	10975 	01483891+3757105 	-0.125 	0.02 	0.04 	
13288 	17824 		0.015 	0.11 	0.18 	
13701 	18322 	02562566-0853534 	0.11 	0.22 		
14110 	18885 	03015611-0957412 	0.175 	0.11 		
15004 	19845 	03132386+4810370 	0.17 	0.33 		
15643 	20894 	03212401-2338064 	-0.065 	0.045 		
16780 	22409 	03355766-1111376 	-0.21 	-0.03 		
16870 	22663 	03370566-4016285 	0.13 	0.34 		
16989 	22675 	03382925-0723304 	-0.025 	0.19 		
17351 	23319 	03425006-3718487 	0.245 	0.2 		
19780 	27256 	04142547-6228258 	0.155 	0.18 		
23685 	32887 	05052766-2222157 	-0.15 	-0.47 		
25993 	36848 	05325141-3830482 	0.295 	0.19 		
29575 	43023 	06135423-0344291 	-0.1 	-0.03 	-0.01 	
33160 	50778 	06541141-1202188 	-0.41 	-0.66 		
34622 	54810 	07101368-0414139 	-0.25 	-0.24 	-0.11 	
37204 	60986 	07383286+3502546 	0.075 	0.21 	0.18 	
39079 	65695 	07594415-0340464 	-0.14 	-0.01 		
46390 	81797 	09273524-0839308 	-0.05 	-0.26 		
48356 	85444 	09512869-1450478 	0.03 	0.11 	0.14 	
54029 	95808 	11031488-1118124 	-0.01 	0.15 		
60260 	107446 	12212161-6024040 	-0.215 	-0.85 		
61359 	109379 	12342324-2323483 	0.1 	0.09 		
63608 	113226 	13021059+1057329 	0.105 	0.18 		
64725 	115202 	13155873-1956348 	0.025 	0.07 	0.11 	
64962 	115659 	13185528-2310173 	0.02 	0.21 		
66763 	119126 	13410232+2229449 	-0.015 	0.08 		
70027 	125560 	14194524+1618250 	0.24 	0.23 		
72631 	130952 	14510106-0217569 	-0.365 	-0.11 		
80910 	148760 	16312285-2632154 	0.17 	0.3 	0.17 	
86219 	161178 	17370888+7227209 	-0.11 	0.05 		
88765 	165760 	18071836+0844017 		0.2 		
91105 	171391 	18350240-1058380 	0.01 	0.13 	0.22 	
100062 	192879 	20180139-2148357 	-0.065 	-0.05 		
105515 	203387 	21221480-1650042 	0.04 	0.08 	0.05 	
111515 	213986 	22353637-2359281 	0.125 	0.19 		
118209 	224533 	23584037-0333214 	0.06 	0.22 		
43634 	75782 	08531153+3704132 	0.29 	0.17 		
84801 	156826 	17195956-0555028 	-0.1 	0.04 	-0.15 	
88217 	164507 	18005728+1505365 	0.19 	0.65 	0.22 	
90729 	170829 	18304166+2048544 	0.13 	0.42 	0.2 	
108506 	208801 	21585496-0422226 	0.11 	0.01 	0.35 	
113994 	218101 	23050631+1633466 	0.18 	0.34 	0.34 	
69316 	124186 	14111512+3217451 	0.27 	0.14 		
73568 	133124 	15020649+2500290 	-0.14 	-0.53 	-0.08 	
80693 	148513 	16283398+0039540 		-0.44 		
86667 	161074 	17422836+2433506 	-0.18 	-0.39 		
13055 	16458 	02474766+8126546 	-0.57 	0.36 	0.01 	
32329 	48565 	06445490+2051382 	-0.64 	-0.27 	0.04 	
46155 	81192 	09244531+1947115 	-0.595 	-0.49 		
3206 	3765 	00404929+4011133 	0.18 	0.07 	1.01 	
4290 	5294 	00545929+2406013 	-0.17 	-0.16 	0.44 	
10321 	13507 	02125499+4040061 	-0.02 	0.14 	0.54 	
10629 	13783 	02164918+6457092 	-0.75 	-0.36 		
16930 	22556 	03375247+0538288 	-0.17 	0.04 		
17409 	23050 	03434769+4236121 	-0.36 	-0.11 		
17936 	24053 	03500889+0637144 	0.04 	0.14 		
18097 	24206 	03520556+2240185 	-0.08 	-0.01 		
21010 	28447 	04302003+2807548 	-0.09 	0.04 		
21436 	29150 	04361396+2132116 		0.04 		
28428 	40616 	06001379+0450079 	-0.22 	-0.26 	0.31 	
29991 	43856 	06184832+0643314 	-0.19 	-0.01 	0.21 	
36285 	58595 	07281058+4039238 	-0.31 	-0.11 		
40497 	68638 	08160636+5705392 	-0.24 	-0.16 	0.25 	
41209 	70923 		0.06 	-0.06 	0.74 	
41484 	71148 	08273677+4539112 	0.02 	-0.02 	0.44 	
46404 	81809 	09274680-0604164 	-0.28 	0.135 	-0.01 	
46580 	82106 	09295482+0539184 	0.04 	-0.16 	0.19 	
50513 	89251 	10185978+5124198 	-0.12 	0.04 		
55427 	98630 	11210250+0703519 	0.22 	0.12 	0.64 	
65530 	117043 	13255983+6315406 	0.21 	0.14 	0.48 	
65982 	117635 	13314000-0219027 	-0.415 	-0.16 	0.35 	
67105 	119802 	13451470+0850094 	-0.05 	-0.11 	0.78 	
76382 	139341 	15360229+3948092 	0.21 	0.34 		
95772 	183341 	19284639+1101372 	-0.01 	0.09 	0.38 	
96948 	186104 	19422975+0135116 	0.05 	0.545 	0.61 	
98192 	189087 	19571345+2949265 	-0.12 	-0.06 		
99367 	191533 	20100779+0826363 	-0.1 	-0.16 	0.37 	
101059 	195104 	20291169+0427238 	-0.19 	-0.16 	0.26 	
104733 	202108 	21125763+3048340 	-0.21 	-0.06 		
105399 	203235 	21205579+0307053 	0.05 	0.04 	0.35 	
105766 	204521 	21251680+7028390 	-0.69 	-0.345 		
106707 	205702 	21365330+0548533 	0.01 	-0.01 	0.49 	
109527 	210667 	22111191+3615230 	0.15 	0.14 		
111372 	213657 	22334705-4203134 	-2.095 	-1.19 		
113896 	217877 	23035726-0447417 	-0.105 	0.355 	0.08 	
114273 	218527 	23084093+0207404 	-0.34 	0.05 		
656 	330 	00080466+5347465 	-0.24 	-0.18 	0.15 	
2712 	3079 	00342967+4754557 	-0.14 	-0.16 		
3132 	3440 	00394719+8229374 	-0.33 	-0.29 		
3014 	3532 	00382122+1942179 	-0.355 	-0.22 		
4127 	5065 	00525176+4014440 	-0.11 	0.07 		
5016 	6250 	01041662+5412154 	-0.21 	0.01 		
5106 	6312 	01052644+6343169 	-0.24 	-0.14 		
6975 	9091 	01294865+2341256 	-0.31 	-0.26 		
7357 	9670 	01344887+0056406 	-0.27 	-0.06 		
11237 	14877 	02243973+2226020 	-0.42 	-0.36 		
16723 	22255 	03351015+0542503 	-0.31 	-0.11 		
17022 	22521 	03385721+4232178 	-0.25 	0.01 		
17231 	22718 	03412565+5049176 	-0.1 	-0.11 		
17655 	23438 	03465281+4151337 	-0.26 	-0.13 		
19631 	26421 	04122294+3742434 	-0.385 	-0.22 		
20754 	27816 	04264953+5814263 	-0.48 	-0.38 		
26100 	36667 	05335999+1535042 	-0.42 	-0.22 		
36481 	59360 	07302337+1948502 	-0.15 	-0.05 		
42343 	73400 	08375756-0852536 	-0.23 	0.04 		
49246 	86884 	10031190+5805521 	-0.25 	-0.07 		
50319 	89010 	10163231+2330111 	-0.01 	0.465 	0.15 	
51784 	91638 	10345021-0353587 	-0.29 	-0.03 		
55666 	99126 	11242175-0554358 	-0.19 	0.06 		
56186 	100067 	11310109+3218594 	-0.37 	-0.04 		
57117 	101716 	11423459+4347220 	-0.13 	-0.12 		
57300 	102080 	11445837+2724259 	-0.36 	-0.23 		
59735 	106510 	12150146+3008292 	-0.44 	-0.28 		
63354 	112756 	12585512+0506233 	-0.35 	-0.02 		
72199 	130253 	14460235+3653285 	-0.11 	-0.2 		
73768 	133641 	15044515+2527369 	-0.43 	-0.27 		
77159 	140750 	15451515+0442296 	-0.24 	-0.09 		
79837 	146946 	16174594+3148154 	-0.4 	0.28 	0.25 	
82935 	152986 	16565367-0202550 	-0.17 	-0.09 		
84217 	155646 	17125434+0021072 	-0.12 	-0.12 		
99607 	192145 	20125091+1605437 	-0.315 	0.45 	-0.07 	
104421 	201490 	21091067+3022353 	-0.25 	-0.1 		
104514 	201639 	21101426+2044369 	-0.5 	-0.21 		
105202 	202884 	21183718+0857346 	-0.26 	0.09 		
106157 	204712 	21300845+1216145 	-0.485 	-0.21 		
109090 	209858 	22055404+2758018 	-0.27 	-0.02 		
110788 	212858 	22264335+3646117 	-0.37 	-0.2 		
111723 	214435 	22375233+1459117 	-0.25 	-0.28 		
111748 	214557 	22381163+4549403 	0.07 	0.29 		
114729 	219306 	23142599+4341533 	-0.27 	-0.26 		
115220 	219983 	23201582-0355088 	-0.2 	-0.13 		
117582 	223583 	23504415+4149398 	-0.45 	-0.44 		
394 	225239 	00045378+3439355 	-0.48 	-0.395 		
11432 	15176 	02272778+3148045 	-0.075 	-0.02 		
51047 	90250 	10254492+3525312 	0.015 	0.08 		
476 	87 	00054195+1323465 	-0.07 	0.17 		
671 	360 	00081755-0849266 	-0.095 	0.09 		
729 	448 	00090243+1812432 	0.07 	0.25 	0.14 	
3231 	3817 	00410716+3927312 	-0.11 	0.01 		
4906 	6186 	01025662+0753247 	-0.3 	-0.14 	-0.06 	
6999 	9057 	01300611+4700260 	0.07 	0.16 		
8404 	11037 	01482601+0341076 	-0.14 	-0.05 	-0.01 	
10326 	13692 	02130098-2100006 	-0.165 	-0.17 		
10642 	14129 	02165903-0625193 	0.01 	0.18 	0.08 	
12273 	15920 	02380205+7249057 	-0.03 	0.27 	0.17 	
14668 	19476 	03092976+4451271 	0.14 	0.24 	0.3 	
17595 	23526 	03460936+0648126 	-0.15 	-0.07 	-0.06 	
22479 	30814 	04501160-1613020 	0.04 	0.02 	0.05 	
23221 	32008 	04595045-1015478 	-0.21 	0.39 	-0.01 	
27280 	38527 	05465213+0931205 	-0.11 	0.01 	0.01 	
27483 	38656 	05491042+3910519 	-0.13 	0.01 	0.02 	
29246 	41597 	06095902+5856084 	-0.545 	-0.33 	-0.41 	
29696 	43039 	06152269+2929535 	-0.32 	-0.19 		
33449 	50522 	06571661+5825221 	0.05 	0.78 		
33421 	51000 	06570052+3340516 	-0.04 	0.13 		
34440 	54131 		-0.12 	-0.03 		
35005 	55730 	07143262+1206570 	-0.155 	0.05 	0.03 	
35846 	57727 	07232854+2503021 	-0.09 	0.28 		
38375 	64152 	07514303-2110252 	0.06 	0.31 		
40084 	68290 		0.06 	0.21 	0.19 	
43103 	74739 	08464184+2845356 	-0.025 	0.05 		
43067 	74918 		-0.12 	0.08 	0.07 	
45412 	79452 	09151428+3438003 	-0.74 	-0.46 		
45751 	80499 	09194638-1158294 	-0.06 	0.17 	0.12 	
46880 	82734 	09331246-2106567 	0.22 	0.41 	0.31 	
47029 	82741 	09350382+3937175 	-0.15 	-0.03 	-0.03 	
47570 	83805 	09420035+3945282 	0.045 	0.15 	0.07 	
51808 	91190 	10350550+7542464 	0.01 	0.18 		
51775 	91612 	10344802+0657136 	-0.2 		-0.07 	
52689 	93291 	10462527+1411407 	-0.08 	0.12 		
53377 	94497 	10545820+3402052 	-0.165 	-0.18 		
55650 	99055 	11240233+0124279 	-0.055 	0.14 		
55797 	99283 	11255710+5551017 	-0.12 	-0.02 	0.01 	
56583 	100696 	11360276+6919229 	-0.32 	-0.2 	-0.15 	
56647 	100920 	11365692-0049259 	-0.17 	-0.04 		
60485 	107950 	12240149+5133439 	0.04 	-0.01 		
60646 	108225 	12255094+3901073 	0.08 	0.26 		
61309 	109317 	12333893+3314514 	-0.055 	0.07 		
63533 	113095 	13010963+1707234 	-0.035 	0.1 		
64179 	114256 	13091244+1001208 	0.04 	0.18 		
65550 	116957 	13261658+4601411 	-0.08 	0.04 	0.04 	
66098 	117818 	13325807-1009541 	-0.305 	-0.17 		
66320 	118219 	13353129-0523464 	-0.3 	-0.13 		
67210 	120048 	13461908+3830131 	0.11 	0.17 		
67485 	120787 	13494550+6129216 	-0.325 	-0.12 		
70012 	125454 	14193249-0215560 	-0.1 	-0.09 		
71837 	129336 	14414352+1139384 	-0.2 	0.05 		
72125 	129972 	14451445+1657513 	-0.02 	0.07 		
72573 	133002 	14502043+8230431 	-0.33 	-0.15 	0.43 	
73634 	133392 	15030608+3512208 	0.09 	0.16 		
73909 	134190 	15061672+5433228 	-0.385 	-0.19 	-0.25 	
77738 	142531 	15521656+5549361 	0.045 	0.06 		
79882 	146791 		-0.07 	0.06 	0.14 	
80343 	147700 	16240618-2002147 	-0.1 	0.02 		
80331 	148387 	16235949+6130509 	-0.07 	0.07 		
80793 	148604 	16294693-1433031 	-0.1 	0.4 		
80894 	148786 		0.175 	0.12 		
82764 	152815 	16545517+2057304 	-0.16 	0.06 	0.09 	
83367 	154084 	17021868+2530201 	-0.155 	-0.02 		
83854 	154779 	17081485-1736325 	0.095 	0.16 		
84656 	156891 	17182323+3848407 	0.08 	0.04 		
85207 	157527 	17244204-2126292 	0.07 	0.21 		
89587 	167768 	18165311-0300262 	-0.7 	-0.47 	-0.14 	
89918 	168656 	18205206+0322379 	-0.08 	0.06 		
90642 	170474 	18294099-0159069 	0.005 			
93197 	176707 	18585939+5048329 	-0.25 	-0.03 		
93683 	177241 	19044099-2144294 	-0.01 	0.08 	0.04 	
95498 	182762 	19252860+1947546 	-0.07 	-0.03 	0.08 	
97118 	186675 	19441660+3721156 	0.01 	0.1 	0.12 	
97783 	187739 	19521200-1902420 	-0.13 	0.08 	-0.08 	
98110 	188947 		0.08 	0.18 		
100541 	194013 	20231070+0520345 	-0.06 	0.15 		
102026 	196857 	20403252-1607268 	-0.29 	-0.22 		
104459 	201381 	21093564-1122180 	-0.005 	0.18 	0.19 	
107188 	206453 	21423950-1851586 	-0.4 	-0.21 		
108868 	209396 	22031646-0631208 	0.09 	0.23 	0.18 	
109466 	210434 	22103374-0416007 	0.185 	0.35 		
110003 	211391 	22165002-0747001 	0.12 	0.24 		
110532 	212320 	22233214-0711398 	-0.165 	-0.22 		
111362 	213930 	22334064+5637289 	0.15 	0.33 		
112242 	215373 		0.1 	0.16 		
112590 	215943 	22481104+3725000 	-0.04 	0.11 		
113521 	217264 	22592744+0057464 	0.12 	0.11 	0.34 	
114971 	219615 	23170996+0316563 	-0.61 	-0.38 	-0.25 	
116591 	222093 		-0.15 	-0.07 		
117375 	223252 		-0.03 	0.1 	0.14 	
16266 	21665 	03293914-0648159 	0.05 	0.21 		
17058 	22695 	03392574+1632121 	0.085 	0.21 		
17057 	22799 	03392541-1026140 	-0.145 	0.09 		
17120 	22819 	03395956-0107164 	-0.005 	0.16 		
17408 	23183 	03434719+1939542 	-0.21 	-0.15 	-0.12 	
20848 	28322 	04280363+0151306 	-0.09 	-0.08 	-0.02 	
27046 	37638 	05440844+6128356 	-0.03 	0.15 		
28622 	41125 	06023380-1429497 	-0.05 	0.06 		
29789 	43261 	06161904+2358120 	-0.02 	0.24 		
40231 	68461 	08125972+1630516 	-0.12 	0.3 		
41067 	70673 	08224685-1303171 	-0.125 	0.09 		
45033 	78715 	09102085+2159469 	-0.09 	0.12 		
46869 	82638 	09330197-0830194 	-0.16 	-0.01 		
63952 	113994 	13062286+6202306 	-0.275 	-0.08 		
66690 	119035 	13401558+3100433 	-0.34 	-0.22 		
83359 	154633 	17021572+6436025 	0.145 	0.59 		
91606 	173398 	18405640+6244581 	0.165 	0.31 		
97402 	187193 	19474853+2523025 	-0.12 	0.22 		
100969 	194953 	20281679+0256137 	-0.11 	0.1 		
104172 	201051 	21062348+2655276 	-0.005 	0.15 		
106872 	206027 	21384516+2529556 		0.14 		
24336 	33866 	05132503+0341138 	-0.18 	0.45 	0.4 	
29074 	41708 	06075904+2725418 	0.045 	0.82 	0.19 	
62527 	111513 	12484915+6122420 	0.11 	0.75 	0.33 	
62606 	111540 		0.11 	0.75 	0.4 	
74442 	135145 	15124774+2755356 	-0.08 	0.55 	0.25 	
84824 	156968 	17201162+0927395 	-0.14 	0.51 	0.11 	
12114 	16160 	02360498+0653140 	-0.11 	0.12 	0.47 	
30630 	45088 	06261024+1845249 	-0.21 	-0.08 	1.01 	
33817 	52698 	07011370-2556555 	0.16 	0.285 	0.62 	
69673 	124897 	14153968+1910558 	-0.565 	-0.34 	-0.34 	
98698 	190007 	20024703+0319344 	0.16 	0.12 	0.53 	
45983 	80607 	09223972+5036139 	0.29 	0.84 	0.39 	
100269 	193555 	20201536+1532344 	0.39 	0.64 	0.47 	
42173 	72946 	08355126+0637218 	0.16 	0.405 	0.38 	
42430 	73752 	08390794-2239427 	0.235 	0.785 	0.56 	
57001 	101563 	11410835-2911463 	-0.03 	0.22 	0.01 	
102532 	197964 		0.145 	0.48 		
2926 	3411 	00370717+2400506 	0.325 	0.48 	0.4 	
3786 	4656 	00484094+0735058 	-0.21 	-0.66 	-0.22 	
4801 	6037 	01013864-1615557 	0.175 	0.37 	0.23 	
5170 	6559 	01060770-2359325 	0.02 	0.02 		
5586 	7106 	01113963+3005229 	0.015 	-0.03 	0.02 	
5936 	7578 	01161893+3306531 	0.225 	0.27 		
6537 	8512 	01240142-0810596 	-0.105 	0.03 	-0.06 	
6732 	8763 	01264167+1914255 	0.025 	0.07 		
7007 	9138 	01301114+0608377 	-0.41 	-0.38 	-0.26 	
9862 	13004 	02065204-1908200 	0.125 	0.24 	0.12 	
11313 	14872 	02253742+5016431 	-0.155 	-0.61 	-0.1 	
11924 	15866 	02335423+3134502 	0.24 	0.54 	0.35 	
13197 	17713 	02495096-2433371 	-0.015 	-0.03 	-0.01 	
14315 	19121 	03043807+0151488 	-0.195 	-0.12 	-0.11 	
15900 	21120 	03244879+0901437 	-0.15 	0.01 	0.1 	
16142 	21530 	03280097-1117119 	0.23 	0.16 	0.23 	
16274 	21760 	03294906-2230197 	0.04 	-0.05 	0.07 	
16335 	21552 	03303447+4759426 	-0.29 	-0.48 	-0.23 	
19036 	25627 	04043958+1731032 	0.115 	0.19 	-0.03 	
19601 	26625 	04120025-1716290 	0.11 	0.2 	0.17 	
19641 	26546 	04123136+1716388 	0.075 	0.07 	0.11 	
20250 	27382 	04202122+2721027 	-0.335 	-0.29 	-0.24 	
20892 	28479 	04283903-1927317 	0.195 	0.34 	0.16 	
22176 	30197 	04461683+1844051 	0.16 	0.17 	0.17 	
24331 	33856 		0.24 	0.44 	0.31 	
25475 	35521 	05265128+3315442 	0.155 	0.37 	0.21 	
25730 	35984 	05294065+2911113 	0.07 	0.83 		
28139 	40020 	05564945+1131158 	0.15 	0.08 		
28358 	40035 	05593160+5417047 	-0.03 	0.01 	0.08 	
28390 	40083 	05594794+5432492 	0.255 	0.34 	0.34 	
29294 	42621 	06103469-2709154 	0.045 	0.13 	0.09 	
29692 	43429 	06151773-1828379 	0.09 	0.01 		
31084 	46184 	06312304-1223311 	0.06 	0.11 	0.06 	
32249 	48433 		-0.125 	0.02 	-0.09 	
35710 	57264 		-0.36 	-0.36 	-0.3 	
36325 	58898 	07283989+2733102 	-0.015 		-0.01 	
37069 	61191 	07370351-2648591 	0.055 	0.14 	0.18 	
38868 	65066 	07571587+0838285 	0.11 	0.23 		
39180 	65735 	08004810+1948583 	0.03 	0.18 		
39326 	66242 	08022596-0620134 	-0.195 	-0.08 	-0.01 	
40997 	70522 	08220016-1346060 	0.035 	0.17 	0.08 	
41909 	72292 	08324250+2026281 	0.105 	0.21 	-0.03 	
42010 	72505 	08334505+1315264 	0.19 	0.26 	0.1 	
42402 	73471 	08384544+0320293 	0.115 	0.15 	0.08 	
42911 	74442 	08444109+1809158 		0.06 	0.04 	
43903 	75958 	08563744+6436137 	-0.14 		-0.07 	
47056 	83087 	09352463-2241096 	-0.01 	0.07 	0.12 	
47310 	83425 	09382728+0438572 	-0.375 	-0.45 	-0.32 	
49530 	87682 	10064741+0536414 	0.05 	0.2 	0.25 	
49841 	88284 	10103529-1221145 	0.23 	0.3 	0.32 	
50851 	89962 	10230044+0632333 	0.15 	0.38 	0.14 	
52085 	92214 	10383497-1652355 	-0.015 	0.1 	0.08 	
52686 	93257 	10462453+1853294 	0.17 	0.3 	0.1 	
53426 	94600 	10554441+3330250 	-0.105 	-0.1 		
55374 	98579 	11201888-2819559 	0.065 	0.16 	-0.05 	
56146 	100006 	11302904+1824353 	-0.12 	-0.09 	-0.07 	
56864 	101321 	11393015-1311035 	-0.16 	-0.08 		
57477 	102328 	11465561+5537416 	0.235 	0.43 	0.39 	
58654 	104438 	12013949+3602315 	-0.085 	-0.08 		
58849 	104819 	12041093-2222158 	0.265 	0.4 	0.46 	
59285 	105639 	12094131+0153522 	0.07 	-0.01 	-0.02 	
60172 	107328 	12202099+0318453 	-0.45 	-0.33 	-0.44 	
60221 	107418 	12205571-1333566 	0.02 	0.05 	0.05 	
60305 	107610 	12215625+4710558 	0.225 	0.34 	0.16 	
62886 	112033 		0.24 	0.42 	0.3 	
62915 	112048 	12533810-0413286 	0.035 	0.21 	0.01 	
63142 	112357 	12561722-1937535 	-0.185 	-0.06 	0.01 	
64078 	114038 	13075381-1044257 	0.085 	0.32 	0.24 	
64751 	115319 	13161427+1903062 	-0.195 	-0.09 	-0.05 	
65187 	116204 	13213226+3852498 	-0.13 	0.09 	0.1 	
67494 	120452 	13495230-1808029 	0.03 	0.09 		
67929 	121299 	13544214-0130112 	0.145 	0.19 	0.13 	
70336 	126035 	14232564-1142504 	0.115 	0.14 		
70344 	126265 	14233131+3919402 	0.045 			
70414 	126271 	14241827+0805045 	-0.02 	0.05 	-0.05 	
70692 	127700 	14273149+7541451 	-0.14 	-0.32 	-0.12 	
71132 	127740 	14324950+1403391 	-0.125 	0.76 		
71697 	128853 	14395925-2708031 	-0.165 	-0.2 	0.08 	
73193 	132132 	14573326-0010036 	0.12 	0.15 	0.17 	
73620 	133165 	15025403+0205286 	-0.15 	-0.12 	-0.01 	
73927 	133670 	15062713-2201545 	-0.08 	-0.03 		
76006 	138525 	15312231+3636597 	-0.035 	0.34 	0.28 	
76569 	139329 	15381626-2100587 	-0.17 	-0.17 	-0.09 	
78481 	143666 	16011433+1749056 	-0.14 	-0.11 	-0.06 	
79581 	146084 	16141359+0554065 	0.06 	0.16 	0.09 	
79666 	146388 	16152865+1848293 	0.12 	0.18 		
80514 	148228 	16261138+1124268 	-0.07 	-0.11 		
80543 	148317 	16263921+1558214 	0.14 	0.38 	0.18 	
81437 	150449 	16380044+5600559 	-0.035 	-0.08 	0.05 	
82730 	152601 	16543569-0609143 	0.145 	0.06 	0.13 	
83504 	154278 	17035804+1334029 	-0.195 	-0.13 		
83575 	154732 	17044978+4848144 	0.025 	0.12 	-0.01 	
83692 	154733 	17061804+2205027 	-0.055 	-0.12 	-0.1 	
84402 	155970 	17152029-1435032 	0.16 	0.18 	0.25 	
86742 	161096 	17432835+0434022 	0.24 	0.37 	0.24 	
86906 	161502 	17452726+1108407 	-0.35 	-0.28 	-0.19 	
87224 	162113 	17491903+0157409 	0.04 	-0.08 	0.02 	
87308 	162555 	17502290+2919197 	-0.05 		0.03 	
88836 	166229 	18080227+3624046 	0.18 	0.25 	0.16 	
89153 	166464 		-0.08 	-0.08 	0.01 	
89592 	167576 	18165748-2742573 	0.24 	0.33 	0.22 	
89604 	168322 	18170685+4056119 	-0.41 	-0.16 	-0.25 	
90135 	169156 	18233958-0856041 	-0.045 	0.07 	0.04 	
92088 	173780 	18460446+2639435 	-0.04 	0.05 	0.05 	
92689 	175535 	18531355+5042298 	0.015 	0.14 	0.09 	
92782 	176524 	18542388+7117499 		0.21 	0.13 	
92831 	175740 	18545217+4136098 	0.09 	0.19 	0.16 	
92872 	175515 	18552747+0636549 	-0.16 	-0.15 	-0.09 	
92986 	175940 	18563798+2811562 	0.055 	0.14 	0.05 	
93244 	176411 		0.155 	0.19 		
94302 	180006 	19114058+5651330 	0.145 	0.31 	0.2 	
