HIP	HD	2MASS	Fe	Eu	EuII	
13128 	17548 	02485184-0130349 	-0.55 	-0.32 	-0.54 	
93547 	176354 	19031224-5659480 	0.265 	0.84 		
94154 	177409 	19095456-6817589 	-0.07 	0.04 	0.34 	
95962 	183658 	19305272-0630518 	0.035 	0.02 	0.77 	
96085 	183870 	19320669-1116298 	-0.01 	0.18 	0.65 	
98621 	188748 	20015206-6911167 	-0.15 	-0.08 		
98959 	189567 	20053286-6719156 	-0.265 	-0.065 		
98589 	189625 	20013279-1652083 	0.15 	0.21 		
99240 	190248 	20084376-6610563 	0.33 	0.34 		
100396 	192865 	20213566-6718463 	0.1 	-0.2 		
100233 	193193 	20194519-2513427 	-0.08 	-0.2075 		
100568 	193901 	20233579-2122124 	-1.09 	-0.475 	-0.875 	
101345 	195564 	20322369-0951120 	0.03 	0.6 	0.21 	
101346 	195633 	20322400+0631034 	-0.58 	-0.05 	-0.47 	
101997 	196761 	20401173-2346262 	-0.28 	0.29 	0.01 	
102018 	196800 	20402233-2407049 	0.16 	0.0315 	-0.09 	
102046 	196892 	20404938-1847331 	-1.05 	-0.54 	-0.885 	
103654 	199190 	21000584-6934460 	0.12 	-0.09 	0.06 	
103458 	199288 	20574008-4407453 	-0.64 	-0.28 		
103682 	199960 	21003382-0443486 	0.25 	0.6695 	0.43 	
104549 	201496 	21104067-2318413 	-0.07 	0.69 	0.44 	
105606 	203432 	21232255-4133091 	0.295 	0.3 		
106213 	204385 	21304792-6210033 	0.04 	0.062 		
107022 	205536 	21402972-7404275 	-0.08 	-0.24 		
15442 	20619 	03190187-0250353 	-0.25 	-0.11 		
107649 	207129 	21481574-4718129 	-0.03 	0.05 		
108158 	207700 	21544520-7326185 	0.03 	-0.13 		
15371 	20807 	03181281-6230230 	-0.25 	-0.13 	-0.24 	
108468 	208704 	21582432-1239526 	-0.091 	-0.1 	0.075 	
108950 	209449 	22042264-3852346 	0.38 	1.02 		
15776 	21019 	03231769-0747385 	-0.45 	0.11 	-0.38 	
109646 	210752 	22124353-0628082 	-0.6 	0.13 	-0.38 	
109821 	210918 	22143860-4122532 	-0.095 	-0.075 		
110161 	211317 	22184967-6818473 	0.24 	0.55 		
110109 	211415 		-0.24 	-0.09 		
110843 	212708 	22272467-4921573 	0.265 	0.155 		
111274 	213575 	22323403-0628020 	-0.17 	-0.11 		
111746 	214385 	22381100-2726361 	-0.37 	0.21 	-0.12 	
111978 	214759 	22405515-3159241 	0.17 	-0.32 		
113948 	217958 	23043288-2541278 	0.25 	1.0 	0.53 	
115577 	220507 	23244211-5242068 		-0.18 	0.13 	
115951 	221146 	23293031-0102091 	0.0715 	0.13 		
116106 	221356 	23313149-0405143 	-0.23 	0.2475 	0.09 	
116250 	221420 	23331963-7723069 	0.3 	0.04 		
116937 	222595 	23421268-5325239 	-0.02 	-0.02 		
117066 	222669 	23435740-8230306 	0.02 	0.06 	0.22 	
117320 	223171 	23472083-4816320 	0.09 	0.045 	0.1 	
80 	224817 	00005823-1149253 	-0.575 	-0.4 	-0.22 	
17147 	22879 	03402202-0313005 	-0.83 	-0.36 	-0.43 	
17378 	23249 	03431490-0945490 	0.15 	0.27 	0.155 	
17420 	23356 	03435531-1906394 	-0.08 	0.16 	0.46 	
19849 	26965 	04151651-0739068 	-0.28 	0.1 	0.23 	
